K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,MOV_C1,MOV_C2,USE_ADJ_RATES,brier
20,50,75,0.7,0.002,3.0,False,0.5792313258951872
25,50,125,0.8,0.002,1.5,False,0.5792427868005349
25,40,100,0.8,0.0005,2.2,False,0.5792471502914438
30,50,75,0.5,0.001,2.2,False,0.5792527228438499
25,40,100,0.8,0.0005,3.0,True,0.5792693799101603
30,50,75,0.5,0.0005,2.2,False,0.5792771885144383
20,40,75,0.7,0.001,1.5,True,0.579281399168449
25,50,100,0.7,0.002,2.2,False,0.5792850584657753
25,40,100,0.8,0.001,2.2,False,0.5792860391267377
30,50,125,0.7,0.002,1.5,True,0.5792905538919784
25,40,100,0.8,0.001,3.0,True,0.5792919542999999
30,50,100,0.8,0.0005,3.0,False,0.5792922564513365
30,30,75,0.7,0.0005,3.0,False,0.5793109299657755
20,50,100,0.7,0.0005,3.0,True,0.579315135525134
30,40,100,0.7,0.002,1.5,True,0.5793198215871658
25,50,125,0.8,0.0005,2.2,True,0.5793230305518715
30,50,125,0.7,0.001,1.5,True,0.5793270816443851
30,30,75,0.7,0.001,3.0,False,0.5793276022871655
20,40,75,0.7,0.0005,3.0,False,0.5793366557080212
25,40,100,0.8,0.002,3.0,True,0.579337514681818
20,50,100,0.7,0.001,3.0,True,0.5793392471443851
30,50,100,0.8,0.001,3.0,False,0.5793447972037433
25,40,100,0.7,0.0005,2.2,True,0.5793500762962566
25,50,125,0.8,0.001,2.2,True,0.5793516992732619
30,50,125,0.7,0.0005,1.5,True,0.5793531482716576
25,40,100,0.7,0.001,2.2,True,0.5793545595721923
30,30,75,0.7,0.002,3.0,False,0.5793640282219251
20,40,75,0.7,0.001,3.0,False,0.5793643992299462
25,40,75,0.7,0.001,1.5,True,0.5793669052016039
25,40,100,0.7,0.002,2.2,True,0.579367024224599
25,40,100,0.8,0.002,2.2,False,0.5793686001395718
20,30,75,0.7,0.002,2.2,True,0.579376314557219
